Lucas Kozeniesky,M,United States,USA,2020,Tokyo,Shooting,10m Air Rifle Mixed Team,Silver
Carolynn Tucker,F,United States,USA,2020,Tokyo,Shooting,10m Air Rifle Mixed Team,Silver
Vernon Norwood,M,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
Shamier Little,F,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
Bryce Deadmon,M,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
Kaylyn Brown,F,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
Isabella Whittaker,F,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
Quincy Wilson,M,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
Sagen Maddalena,F,United States,USA,2024,Paris,Shooting,50m Rifle 3 Positions Women,Silver
Robert Jr.,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,Silver
Robert Jr.,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double York Round,Silver
Richard Mckinney,M,United States,USA,1984,Los Angeles,Archery,Archery Men's Individual,Silver
Victor Wunderle,M,United States,USA,2000,Sydney,Archery,Archery Men's Individual,Silver
Jack Jr.,M,United States,USA,1988,Seoul,Archery,Archery Men's Team,Silver
Brady Ellison,M,United States,USA,2012,London,Archery,Archery Men's Team,Silver
Brady Ellison,M,United States,USA,2016,Rio de Janeiro,Archery,Archery Men's Team,Silver
Zach Garrett,M,United States,USA,2016,Rio de Janeiro,Archery,Archery Men's Team,Silver
Jacob Linde-kaminski,M,United States,USA,2012,London,Archery,Archery Men's Team,Silver
Jacob Linde-kaminski,M,United States,USA,2016,Rio de Janeiro,Archery,Archery Men's Team,Silver
Richard Mckinney,M,United States,USA,1988,Seoul,Archery,Archery Men's Team,Silver
Darrell Pace,M,United States,USA,1988,Seoul,Archery,Archery Men's Team,Silver
Jacob Wukie,M,United States,USA,2012,London,Archery,Archery Men's Team,Silver
William Clark,M,United States,USA,1904,St. Louis,Archery,Archery Men's Team Round,Silver
Samuel Duvall,M,United States,USA,1904,St. Louis,Archery,Archery Men's Team Round,Silver
Charles Hubbard,M,United States,USA,1904,St. Louis,Archery,Archery Men's Team Round,Silver
Charles Woodruff,M,United States,USA,1904,St. Louis,Archery,Archery Men's Team Round,Silver
Emma Cooke,F,United States,USA,1904,St. Louis,Archery,Archery Women's Double Columbia Round,Silver
Emma Cooke,F,United States,USA,1904,St. Louis,Archery,Archery Women's Double National Round,Silver
John Pope,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Silver
Charles Lay,M,United States,USA,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Silver
Percy Crosby,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",Silver
Ruth (-fracker),F,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Paintings",Silver
Frederick Macmonnies,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Reliefs",Silver
Arthur Blake,M,United States,USA,1896,Athina,Athletics,"Athletics Men's 1,500 metres",Silver
Glenn Cunningham,M,United States,USA,1936,Berlin,Athletics,"Athletics Men's 1,500 metres",Silver
Abel Kiviat,M,United States,USA,1912,Stockholm,Athletics,"Athletics Men's 1,500 metres",Silver
Leonel Manzano,M,United States,USA,2012,London,Athletics,"Athletics Men's 1,500 metres",Silver
Robert Mcmillen,M,United States,USA,1952,Helsinki,Athletics,"Athletics Men's 1,500 metres",Silver
James Ryun,M,United States,USA,1968,Mexico City,Athletics,"Athletics Men's 1,500 metres",Silver
William Verner,M,United States,USA,1904,St. Louis,Athletics,"Athletics Men's 1,500 metres",Silver
Joseph Pearman,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 10 kilometres Walk,Silver
Galen Rupp,M,United States,USA,2012,London,Athletics,"Athletics Men's 10,000 metres",Silver
Lewis Tewanima,M,United States,USA,1912,Stockholm,Athletics,"Athletics Men's 10,000 metres",Silver
Walter Baker,M,United States,USA,1956,Melbourne,Athletics,Athletics Men's 100 metres,Silver
Nathaniel Cartmell,M,United States,USA,1904,St. Louis,Athletics,Athletics Men's 100 metres,Silver
Henry Ewell,M,United States,USA,1948,London,Athletics,Athletics Men's 100 metres,Silver
Justin Gatlin,M,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,Silver
Samuel Iii,M,United States,USA,1984,Los Angeles,Athletics,Athletics Men's 100 metres,Silver
Morris Kirksey,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 100 metres,Silver
Ralph Metcalfe,M,United States,USA,1932,Los Angeles,Athletics,Athletics Men's 100 metres,Silver
Ralph Metcalfe,M,United States,USA,1936,Berlin,Athletics,Athletics Men's 100 metres,Silver
Alvah Meyer,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's 100 metres,Silver
Fay Moulton,M,United States,USA,1906,Athina,Athletics,Athletics Men's 100 metres,Silver
John Rector,M,United States,USA,1908,London,Athletics,Athletics Men's 100 metres,Silver
Jackson Scholz,M,United States,USA,1924,Paris,Athletics,Athletics Men's 100 metres,Silver
David Sime,M,United States,USA,1960,Roma,Athletics,Athletics Men's 100 metres,Silver
Robert Taylor,M,United States,USA,1972,Munich,Athletics,Athletics Men's 100 metres,Silver
Walter Tewksbury,M,United States,USA,1900,Paris,Athletics,Athletics Men's 100 metres,Silver
Stephen Anderson,M,United States,USA,1928,Amsterdam,Athletics,Athletics Men's 110 metres Hurdles,Silver
Harold Barron,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 110 metres Hurdles,Silver
Percy Beard,M,United States,USA,1932,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,Silver
Mark Crear,M,United States,USA,1996,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,Silver
Jack Davis,M,United States,USA,1952,Helsinki,Athletics,Athletics Men's 110 metres Hurdles,Silver
Jack Davis,M,United States,USA,1956,Melbourne,Athletics,Athletics Men's 110 metres Hurdles,Silver
Anthony Dees,M,United States,USA,1992,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,Silver
Gregory Foster,M,United States,USA,1984,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,Silver
John Garrels,M,United States,USA,1908,London,Athletics,Athletics Men's 110 metres Hurdles,Silver
Ervin Hall,M,United States,USA,1968,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,Silver
Harold Lindgren,M,United States,USA,1964,Tokyo,Athletics,Athletics Men's 110 metres Hurdles,Silver
William May,M,United States,USA,1960,Roma,Athletics,Athletics Men's 110 metres Hurdles,Silver
John Mclean,M,United States,USA,1900,Paris,Athletics,Athletics Men's 110 metres Hurdles,Silver
David Payne,M,United States,USA,2008,Beijing,Athletics,Athletics Men's 110 metres Hurdles,Silver
Jason Richardson,M,United States,USA,2012,London,Athletics,Athletics Men's 110 metres Hurdles,Silver
Clyde Scott,M,United States,USA,1948,London,Athletics,Athletics Men's 110 metres Hurdles,Silver
Thaddeus Shideler,M,United States,USA,1904,St. Louis,Athletics,Athletics Men's 110 metres Hurdles,Silver
Terrence Trammell,M,United States,USA,2000,Sydney,Athletics,Athletics Men's 110 metres Hurdles,Silver
Terrence Trammell,M,United States,USA,2004,Athina,Athletics,Athletics Men's 110 metres Hurdles,Silver
James Wendell,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's 110 metres Hurdles,Silver
Walter Baker,M,United States,USA,1952,Helsinki,Athletics,Athletics Men's 200 metres,Silver
Kirk Baptiste,M,United States,USA,1984,Los Angeles,Athletics,Athletics Men's 200 metres,Silver
Lawrence Black,M,United States,USA,1972,Munich,Athletics,Athletics Men's 200 metres,Silver
Lester Carney,M,United States,USA,1960,Roma,Athletics,Athletics Men's 200 metres,Silver
Nathaniel Cartmell,M,United States,USA,1904,St. Louis,Athletics,Athletics Men's 200 metres,Silver
Robert Cloughen,M,United States,USA,1908,London,Athletics,Athletics Men's 200 metres,Silver
Shawn Crawford,M,United States,USA,2008,Beijing,Athletics,Athletics Men's 200 metres,Silver
Otis Drayton,M,United States,USA,1964,Tokyo,Athletics,Athletics Men's 200 metres,Silver
Henry Ewell,M,United States,USA,1948,London,Athletics,Athletics Men's 200 metres,Silver
Millard Jr.,M,United States,USA,1976,Montreal,Athletics,Athletics Men's 200 metres,Silver
Frederick Lewis,M,United States,USA,1988,Seoul,Athletics,Athletics Men's 200 metres,Silver
Donald Lippincott,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's 200 metres,Silver
Charles Paddock,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 200 metres,Silver
Charles Paddock,M,United States,USA,1924,Paris,Athletics,Athletics Men's 200 metres,Silver
Matthew Robinson,M,United States,USA,1936,Berlin,Athletics,Athletics Men's 200 metres,Silver
George Simpson,M,United States,USA,1932,Los Angeles,Athletics,Athletics Men's 200 metres,Silver
Andrew Stanfield,M,United States,USA,1956,Melbourne,Athletics,Athletics Men's 200 metres,Silver
Bernard Iii,M,United States,USA,2004,Athina,Athletics,Athletics Men's 200 metres,Silver
Frank Castleman,M,United States,USA,1904,St. Louis,Athletics,Athletics Men's 200 metres Hurdles,Silver
George Bonhag,M,United States,USA,1908,London,Athletics,"Athletics Men's 3 mile, Team",Silver
Harvey Cohn,M,United States,USA,1908,London,Athletics,"Athletics Men's 3 mile, Team",Silver
Gayle Dull,M,United States,USA,1908,London,Athletics,"Athletics Men's 3 mile, Team",Silver
John Eisele,M,United States,USA,1908,London,Athletics,"Athletics Men's 3 mile, Team",Silver
Herbert Trube,M,United States,USA,1908,London,Athletics,"Athletics Men's 3 mile, Team",Silver
Patrick Flynn,M,United States,USA,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
Evan Jager,M,United States,USA,2016,Rio de Janeiro,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
Sidney Hatch,M,United States,USA,1904,St. Louis,Athletics,"Athletics Men's 4 mile, Team",Silver
Lacey Hearn,M,United States,USA,1904,St. Louis,Athletics,"Athletics Men's 4 mile, Team",Silver
James Lightbody,M,United States,USA,1904,St. Louis,Athletics,"Athletics Men's 4 mile, Team",Silver
William Verner,M,United States,USA,1904,St. Louis,Athletics,"Athletics Men's 4 mile, Team",Silver
Shawn Crawford,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Jonathan Drummond,M,United States,USA,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Justin Gatlin,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Maurice Greene,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Timothy Harden,M,United States,USA,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Michael Marsh,M,United States,USA,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Coby Miller,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Dennis Mitchell,M,United States,USA,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Timothy Montgomery,M,United States,USA,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Darvis Patton,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Harold Cagle,M,United States,USA,1936,Berlin,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Gerrard Cole,M,United States,USA,1952,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Alfred Fitch,M,United States,USA,1936,Berlin,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Ronell Mance,M,United States,USA,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Ollie Matson,M,United States,USA,1952,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Tony Mcquay,M,United States,USA,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Manteo Mitchell,M,United States,USA,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
