Country Code,Gender,Event,bronze,silver,gold,total athletes,prob_bronze,prob_silver,prob_gold,raw medals
CMR,F,JUD,0,0,0,5,0.0,0.0,0.0,0
NOR,F,FEN,0,0,0,6,0.0,0.0,0.0,0
BEL,M,MPN,0,0,0,15,0.0,0.0,0.0,0
HAI,F,ATH,0,0,0,13,0.0,0.0,0.0,0
ESP,F,SAL,0,1,5,50,0.0,0.02,0.1,6
ARU,F,ATH,0,0,0,5,0.0,0.0,0.0,0
NZL,M,ROW,13,4,20,224,0.05803571428571429,0.017857142857142856,0.08928571428571429,37
JPN,F,BMX,0,0,0,1,0.0,0.0,0.0,0
CUB,F,SBL,0,0,0,15,0.0,0.0,0.0,0
PAK,M,WLF,0,0,0,13,0.0,0.0,0.0,0
HKG,M,ARC,0,0,0,7,0.0,0.0,0.0,0
NZL,M,CSL,0,1,3,62,0.0,0.016129032258064516,0.04838709677419355,4
DOM,F,TTE,0,0,0,8,0.0,0.0,0.0,0
GRE,M,CRD,0,0,0,1,0.0,0.0,0.0,0
CHN,M,DIV,4,11,16,64,0.0625,0.171875,0.25,31
IND,M,CTR,0,0,0,40,0.0,0.0,0.0,0
FRG,F,SHO,0,1,0,14,0.0,0.07142857142857142,0.0,1
PER,M,SRF,0,0,0,2,0.0,0.0,0.0,0
COL,F,RU7,0,0,0,12,0.0,0.0,0.0,0
IND,M,ART,0,0,0,2,0.0,0.0,0.0,0
THA,F,GLF,0,0,0,4,0.0,0.0,0.0,0
JAM,F,ATH,20,20,13,382,0.05235602094240838,0.05235602094240838,0.034031413612565446,53
CHN,M,WLF,7,11,16,77,0.09090909090909091,0.14285714285714285,0.2077922077922078,34
MON,M,CTR,0,0,0,1,0.0,0.0,0.0,0
MON,M,ART,1,0,0,8,0.125,0.0,0.0,1
CRC,F,SWM,0,1,1,41,0.0,0.024390243902439025,0.024390243902439025,2
GRE,F,SWA,0,0,0,30,0.0,0.0,0.0,0
COL,F,TEN,0,0,0,10,0.0,0.0,0.0,0
USA,F,ARC,5,2,4,66,0.07575757575757576,0.030303030303030304,0.06060606060606061,11
PHI,M,SAL,0,0,0,3,0.0,0.0,0.0,0
ALG,M,TKW,0,0,0,1,0.0,0.0,0.0,0
AUT,M,TTE,0,0,0,2,0.0,0.0,0.0,0
CYP,F,ARC,0,0,0,1,0.0,0.0,0.0,0
HKG,F,TTE,0,0,0,2,0.0,0.0,0.0,0
BRA,M,TRI,0,0,0,12,0.0,0.0,0.0,0
BEL,F,HOC,0,0,0,16,0.0,0.0,0.0,0
MYA,F,ARC,0,0,0,3,0.0,0.0,0.0,0
CYP,M,TEN,0,0,0,2,0.0,0.0,0.0,0
ITA,F,SBL,0,0,0,45,0.0,0.0,0.0,0
BAH,M,SAL,0,0,0,6,0.0,0.0,0.0,0
JPN,M,ART,2,0,0,124,0.016129032258064516,0.0,0.0,2
FRA,M,SAL,0,0,1,2,0.0,0.0,0.5,1
CAN,M,TRI,0,0,1,16,0.0,0.0,0.0625,1
JPN,M,CTR,3,2,0,148,0.02027027027027027,0.013513513513513514,0.0,5
CHN,F,SAL,1,3,1,34,0.029411764705882353,0.08823529411764706,0.029411764705882353,5
TUN,M,ATH,0,1,0,65,0.0,0.015384615384615385,0.0,1
MAS,F,BDM,0,0,0,16,0.0,0.0,0.0,0
TPE,M,TTE,0,0,0,2,0.0,0.0,0.0,0
GER,M,SAL,0,0,0,3,0.0,0.0,0.0,0
GBR,M,RQT,0,0,2,2,0.0,0.0,1.0,2
CAN,M,SAL,0,0,0,2,0.0,0.0,0.0,0
CRC,F,DIV,0,0,0,2,0.0,0.0,0.0,0
AUS,F,FBL,0,0,0,71,0.0,0.0,0.0,0
