Country Code,Gender,Event,bronze,silver,gold,total athletes,prob_bronze,prob_silver,prob_gold,raw medals
CMR,F,JUD,0,0,0,5,0.0,0.0,0.0,0
NOR,F,FEN,0,0,0,6,0.0,0.0,0.0,0
BEL,M,MPN,0,0,0,15,0.0,0.0,0.0,0
HAI,F,ATH,0,0,0,13,0.0,0.0,0.0,0
ESP,F,SAL,0,2,3,50,0.0,0.04,0.06,5
ARU,F,ATH,0,0,0,5,0.0,0.0,0.0,0
NZL,M,ROW,13,3,16,224,0.05803571428571429,0.013392857142857142,0.07142857142857142,32
JPN,F,BMX,0,0,0,1,0.0,0.0,0.0,0
CUB,F,SBL,0,0,0,15,0.0,0.0,0.0,0
PAK,M,WLF,0,0,0,13,0.0,0.0,0.0,0
HKG,M,ARC,0,0,0,7,0.0,0.0,0.0,0
NZL,M,CSL,1,2,7,62,0.016129032258064516,0.03225806451612903,0.11290322580645161,10
DOM,F,TTE,0,0,0,8,0.0,0.0,0.0,0
GRE,M,CRD,0,0,0,1,0.0,0.0,0.0,0
CHN,M,DIV,5,4,11,64,0.078125,0.0625,0.171875,20
IND,M,CTR,0,0,0,40,0.0,0.0,0.0,0
FRG,F,SHO,0,1,1,14,0.0,0.07142857142857142,0.07142857142857142,2
PER,M,SRF,0,0,0,2,0.0,0.0,0.0,0
COL,F,RU7,0,0,0,12,0.0,0.0,0.0,0
IND,M,ART,0,0,0,2,0.0,0.0,0.0,0
THA,F,GLF,0,0,0,4,0.0,0.0,0.0,0
JAM,F,ATH,22,22,8,382,0.05759162303664921,0.05759162303664921,0.020942408376963352,52
CHN,M,WLF,1,3,5,77,0.012987012987012988,0.03896103896103896,0.06493506493506493,9
MON,M,CTR,0,0,0,1,0.0,0.0,0.0,0
MON,M,ART,0,0,0,8,0.0,0.0,0.0,0
CRC,F,SWM,2,0,0,41,0.04878048780487805,0.0,0.0,2
GRE,F,SWA,0,0,0,30,0.0,0.0,0.0,0
COL,F,TEN,0,0,0,10,0.0,0.0,0.0,0
USA,F,ARC,0,0,0,66,0.0,0.0,0.0,0
PHI,M,SAL,0,0,0,3,0.0,0.0,0.0,0
ALG,M,TKW,0,0,0,1,0.0,0.0,0.0,0
AUT,M,TTE,0,0,0,2,0.0,0.0,0.0,0
CYP,F,ARC,0,0,0,1,0.0,0.0,0.0,0
HKG,F,TTE,0,0,0,2,0.0,0.0,0.0,0
BRA,M,TRI,0,0,0,12,0.0,0.0,0.0,0
BEL,F,HOC,0,0,0,16,0.0,0.0,0.0,0
MYA,F,ARC,0,0,0,3,0.0,0.0,0.0,0
CYP,M,TEN,0,0,0,2,0.0,0.0,0.0,0
ITA,F,SBL,0,0,0,45,0.0,0.0,0.0,0
BAH,M,SAL,0,0,0,6,0.0,0.0,0.0,0
JPN,M,ART,0,0,0,124,0.0,0.0,0.0,0
FRA,M,SAL,0,0,0,2,0.0,0.0,0.0,0
CAN,M,TRI,0,1,0,16,0.0,0.0625,0.0,1
JPN,M,CTR,0,1,0,148,0.0,0.006756756756756757,0.0,1
CHN,F,SAL,0,0,2,34,0.0,0.0,0.058823529411764705,2
TUN,M,ATH,1,1,1,65,0.015384615384615385,0.015384615384615385,0.015384615384615385,3
MAS,F,BDM,0,1,0,16,0.0,0.0625,0.0,1
TPE,M,TTE,0,0,0,2,0.0,0.0,0.0,0
GER,M,SAL,0,0,0,3,0.0,0.0,0.0,0
GBR,M,RQT,0,0,0,2,0.0,0.0,0.0,0
CAN,M,SAL,0,0,0,2,0.0,0.0,0.0,0
CRC,F,DIV,0,0,0,2,0.0,0.0,0.0,0
AUS,F,FBL,0,0,0,71,0.0,0.0,0.0,0
