Year_Before,Year_After,Medals_Before,Medals_After,Delta_Medals,Repeat_Rate,Coaching_Effect_%,File
2000,2016,0,0,0,0.0,0.0,Cameroon_JUD_womens.csv
2016,2020,0,0,0,0.0,0.0,Cameroon_JUD_womens.csv
2020,2024,0,0,0,0.0,0.0,Cameroon_JUD_womens.csv
1924,1928,0,0,0,0.0,0.0,Belgium_MPN_mens.csv
1928,1936,0,0,0,0.333,0.0,Belgium_MPN_mens.csv
1936,1948,0,0,0,0.333,0.0,Belgium_MPN_mens.csv
1948,1952,0,0,0,0.0,0.0,Belgium_MPN_mens.csv
1952,1960,0,0,0,0.0,0.0,Belgium_MPN_mens.csv
1972,1976,0,0,0,0.0,0.0,Haiti_ATH_womens.csv
1976,1988,0,0,0,0.0,0.0,Haiti_ATH_womens.csv
1988,2000,0,0,0,0.0,0.0,Haiti_ATH_womens.csv
2000,2004,0,0,0,1.0,0.0,Haiti_ATH_womens.csv
2004,2008,0,0,0,0.333,0.0,Haiti_ATH_womens.csv
2008,2012,0,0,0,0.0,0.0,Haiti_ATH_womens.csv
2012,2016,0,0,0,0.0,0.0,Haiti_ATH_womens.csv
2016,2020,0,0,0,1.0,0.0,Haiti_ATH_womens.csv
2020,2024,0,0,0,0.0,0.0,Haiti_ATH_womens.csv
1988,1992,0,3,3,0.25,75.0,Spain_SAL_womens.csv
1992,1996,3,2,-1,0.5,-16.67,Spain_SAL_womens.csv
1996,2000,2,0,-2,0.0,-0.0,Spain_SAL_womens.csv
2000,2004,0,2,2,0.429,85.71,Spain_SAL_womens.csv
2004,2008,2,0,-2,0.571,-57.14,Spain_SAL_womens.csv
2008,2012,0,4,4,0.143,57.14,Spain_SAL_womens.csv
2012,2016,4,0,-4,0.714,-71.43,Spain_SAL_womens.csv
2016,2020,0,0,0,0.0,0.0,Spain_SAL_womens.csv
2020,2024,0,0,0,0.429,0.0,Spain_SAL_womens.csv
1988,1992,0,0,0,1.0,0.0,Aruba_ATH_womens.csv
1992,2000,0,0,0,0.0,0.0,Aruba_ATH_womens.csv
1920,1932,1,2,1,0.0,0.0,New_Zealand_ROW_mens.csv
1932,1952,2,0,-2,0.0,-0.0,New_Zealand_ROW_mens.csv
1952,1956,0,0,0,0.125,0.0,New_Zealand_ROW_mens.csv
1956,1960,0,0,0,1.0,0.0,New_Zealand_ROW_mens.csv
1960,1964,0,0,0,0.0,0.0,New_Zealand_ROW_mens.csv
1964,1968,0,5,5,0.429,214.29,New_Zealand_ROW_mens.csv
1968,1972,5,13,8,0.368,58.95,New_Zealand_ROW_mens.csv
1972,1976,13,9,-4,0.333,-10.26,New_Zealand_ROW_mens.csv
1976,1984,9,9,0,0.048,0.0,New_Zealand_ROW_mens.csv
1984,1988,9,6,-3,0.3,-10.0,New_Zealand_ROW_mens.csv
1988,1992,6,0,-6,0.5,-50.0,New_Zealand_ROW_mens.csv
1992,1996,0,0,0,0.444,0.0,New_Zealand_ROW_mens.csv
1996,2000,0,1,1,0.8,80.0,New_Zealand_ROW_mens.csv
2000,2004,1,0,-1,0.0,-0.0,New_Zealand_ROW_mens.csv
2004,2008,0,3,3,0.455,136.36,New_Zealand_ROW_mens.csv
2008,2012,3,7,4,0.4,53.33,New_Zealand_ROW_mens.csv
2012,2016,7,3,-4,0.364,-20.78,New_Zealand_ROW_mens.csv
2016,2020,3,10,7,0.467,108.89,New_Zealand_ROW_mens.csv
2020,2024,10,4,-6,0.556,-33.33,New_Zealand_ROW_mens.csv
2020,2024,0,0,0,0.5,0.0,Japan_BMX_womens.csv
1948,1952,0,0,0,1.0,0.0,Pakistan_WLF_mens.csv
1952,1956,0,0,0,0.333,0.0,Pakistan_WLF_mens.csv
1956,1960,0,0,0,0.0,0.0,Pakistan_WLF_mens.csv
1960,1964,0,0,0,1.0,0.0,Pakistan_WLF_mens.csv
1964,1972,0,0,0,0.0,0.0,Pakistan_WLF_mens.csv
1972,1976,0,0,0,0.5,0.0,Pakistan_WLF_mens.csv
1976,2020,0,0,0,0.0,0.0,Pakistan_WLF_mens.csv
1984,1988,0,0,0,0.5,0.0,Hong_Kong_ARC_mens.csv
1988,1992,0,0,0,0.0,0.0,Hong_Kong_ARC_mens.csv
1992,2012,0,0,0,0.0,0.0,Hong_Kong_ARC_mens.csv
1972,1976,0,0,0,0.25,0.0,New_Zealand_CSL_mens.csv
1976,1980,0,0,0,0.333,0.0,New_Zealand_CSL_mens.csv
1980,1984,0,8,8,0.333,266.67,New_Zealand_CSL_mens.csv
1984,1988,8,5,-3,0.571,-21.43,New_Zealand_CSL_mens.csv
1988,1992,5,0,-5,0.5,-50.0,New_Zealand_CSL_mens.csv
1992,1996,0,0,0,0.0,0.0,New_Zealand_CSL_mens.csv
1996,2004,0,1,1,0.0,0.0,New_Zealand_CSL_mens.csv
2004,2008,1,0,-1,0.667,-66.67,New_Zealand_CSL_mens.csv
2008,2012,0,0,0,0.5,0.0,New_Zealand_CSL_mens.csv
2012,2016,0,0,0,0.5,0.0,New_Zealand_CSL_mens.csv
2016,2020,0,0,0,0.0,0.0,New_Zealand_CSL_mens.csv
2020,2024,0,1,1,0.0,0.0,New_Zealand_CSL_mens.csv
1988,1996,0,0,0,1.0,0.0,Dominican_Republic_TTE_womens.csv
1996,2004,0,0,0,0.0,0.0,Dominican_Republic_TTE_womens.csv
2004,2008,0,0,0,0.333,0.0,Dominican_Republic_TTE_womens.csv
2020,2024,0,0,0,0.0,0.0,Greece_CRD_mens.csv
1984,1988,2,3,1,0.5,25.0,China_DIV_mens.csv
1988,1992,3,3,0,0.5,0.0,China_DIV_mens.csv
1992,1996,3,3,0,0.25,0.0,China_DIV_mens.csv
1996,2000,3,7,4,0.75,100.0,China_DIV_mens.csv
2000,2004,7,5,-2,0.333,-9.52,China_DIV_mens.csv
2004,2008,5,7,2,0.167,6.67,China_DIV_mens.csv
2008,2012,7,7,0,0.429,0.0,China_DIV_mens.csv
2012,2016,7,6,-1,0.667,-9.52,China_DIV_mens.csv
2016,2020,6,8,2,0.0,0.0,China_DIV_mens.csv
2020,2024,8,7,-1,0.5,-6.25,China_DIV_mens.csv
1948,1952,0,0,0,0.2,0.0,India_CTR_mens.csv
1952,1964,0,0,0,0.0,0.0,India_CTR_mens.csv
1984,1988,1,2,1,0.143,14.29,West_Germany_SHO_womens.csv
2020,2024,0,0,0,0.5,0.0,Peru_SRF_mens.csv
2016,2020,0,0,0,0.5,0.0,Thailand_GLF_womens.csv
2020,2024,0,0,0,0.5,0.0,Thailand_GLF_womens.csv
1948,1952,0,0,0,0.5,0.0,Jamaica_ATH_womens.csv
1952,1964,0,0,0,0.0,0.0,Jamaica_ATH_womens.csv
1964,1968,0,0,0,0.8,0.0,Jamaica_ATH_womens.csv
1968,1972,0,0,0,0.3,0.0,Jamaica_ATH_womens.csv
1972,1976,0,0,0,0.667,0.0,Jamaica_ATH_womens.csv
1976,1980,0,1,1,0.571,57.14,Jamaica_ATH_womens.csv
1980,1984,1,2,1,0.214,21.43,Jamaica_ATH_womens.csv
1984,1988,2,1,-1,0.455,-22.73,Jamaica_ATH_womens.csv
1988,1992,1,3,2,0.357,71.43,Jamaica_ATH_womens.csv
1992,1996,3,9,6,0.526,105.26,Jamaica_ATH_womens.csv
1996,2000,9,16,7,0.391,30.43,Jamaica_ATH_womens.csv
2000,2004,16,12,-4,0.45,-11.25,Jamaica_ATH_womens.csv
2004,2008,12,12,0,0.333,0.0,Jamaica_ATH_womens.csv
2008,2012,12,14,2,0.65,10.83,Jamaica_ATH_womens.csv
2012,2016,14,16,2,0.241,3.45,Jamaica_ATH_womens.csv
2016,2020,16,19,3,0.207,3.88,Jamaica_ATH_womens.csv
2020,2024,19,1,-18,0.387,-36.67,Jamaica_ATH_womens.csv
1936,1984,0,6,6,0.0,0.0,China_WLF_mens.csv
1984,1988,6,5,-1,0.0,-0.0,China_WLF_mens.csv
1988,1992,5,4,-1,0.3,-6.0,China_WLF_mens.csv
1992,1996,4,4,0,0.0,0.0,China_WLF_mens.csv
1996,2000,4,3,-1,0.333,-8.33,China_WLF_mens.csv
2000,2004,3,4,1,0.5,16.67,China_WLF_mens.csv
2004,2008,4,5,1,0.167,4.17,China_WLF_mens.csv
2008,2012,5,4,-1,0.167,-3.33,China_WLF_mens.csv
2012,2016,4,4,0,0.167,0.0,China_WLF_mens.csv
2016,2020,4,4,0,0.0,0.0,China_WLF_mens.csv
2020,2024,4,2,-2,0.667,-33.33,China_WLF_mens.csv
1924,1928,1,0,-1,0.0,-0.0,Monaco_ART_mens.csv
1928,1932,0,0,0,1.0,0.0,Monaco_ART_mens.csv
1932,1936,0,0,0,0.5,0.0,Monaco_ART_mens.csv
1976,1980,0,0,0,1.0,0.0,Costa_Rica_SWM_womens.csv
1980,1988,0,1,1,0.0,0.0,Costa_Rica_SWM_womens.csv
1988,1992,1,0,-1,1.0,-100.0,Costa_Rica_SWM_womens.csv
1992,1996,0,1,1,0.0,0.0,Costa_Rica_SWM_womens.csv
1996,2000,1,2,1,1.0,100.0,Costa_Rica_SWM_womens.csv
2000,2004,2,0,-2,1.0,-100.0,Costa_Rica_SWM_womens.csv
2004,2008,0,0,0,0.0,0.0,Costa_Rica_SWM_womens.csv
2008,2012,0,0,0,0.0,0.0,Costa_Rica_SWM_womens.csv
2012,2016,0,0,0,1.0,0.0,Costa_Rica_SWM_womens.csv
2016,2020,0,0,0,0.0,0.0,Costa_Rica_SWM_womens.csv
2020,2024,0,0,0,0.0,0.0,Costa_Rica_SWM_womens.csv
1992,2000,0,0,0,0.5,0.0,Greece_SWA_womens.csv
2000,2004,0,0,0,0.111,0.0,Greece_SWA_womens.csv
2004,2008,0,0,0,0.0,0.0,Greece_SWA_womens.csv
2008,2012,0,0,0,0.5,0.0,Greece_SWA_womens.csv
2012,2016,0,0,0,0.5,0.0,Greece_SWA_womens.csv
2016,2020,0,0,0,0.25,0.0,Greece_SWA_womens.csv
2020,2024,0,0,0,0.5,0.0,Greece_SWA_womens.csv
2000,2004,0,0,0,0.5,0.0,Colombia_TEN_womens.csv
2004,2012,0,0,0,0.0,0.0,Colombia_TEN_womens.csv
2012,2016,0,0,0,1.0,0.0,Colombia_TEN_womens.csv
2016,2020,0,0,0,0.0,0.0,Colombia_TEN_womens.csv
2020,2024,0,0,0,1.0,0.0,Colombia_TEN_womens.csv
1904,1972,6,1,-5,0.0,-0.0,United_States_ARC_womens.csv
1972,1976,1,1,0,0.5,0.0,United_States_ARC_womens.csv
