Year_Start,Year_End,Returning_Athlete_Effect,New_Athlete_Effect,Coaching_Effect,Z_Score,P_Value,Significant,File,Abs_Coaching_Effect
1928,1936,0.0,0.0,0.0,0.0,1.0,False,Belgium_MPN_mens.csv,0.0
1936,1948,0.0,0.0,0.0,0.0,1.0,False,Belgium_MPN_mens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Haiti_ATH_womens.csv,0.0
1988,1992,1.0,2.0,6.67,6.124,0.0,True,Spain_SAL_womens.csv,6.67
1992,1996,0.0,1.0,2.0,0.816,0.41422,False,Spain_SAL_womens.csv,2.0
2000,2004,2.0,0.0,4.67,2.449,0.01431,True,Spain_SAL_womens.csv,4.67
2004,2008,-2.0,0.0,-3.5,-2.0,0.0455,True,Spain_SAL_womens.csv,3.5
2008,2012,1.0,3.0,10.5,7.348,0.0,True,Spain_SAL_womens.csv,10.5
2012,2016,-2.0,0.0,-2.8,-1.826,0.06789,False,Spain_SAL_womens.csv,2.8
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Spain_SAL_womens.csv,0.0
1952,1956,0.0,0.0,0.0,0.0,1.0,False,New_Zealand_ROW_mens.csv,0.0
1964,1968,1.0,4.0,9.33,2.858,0.00426,True,New_Zealand_ROW_mens.csv,9.33
1968,1972,1.0,7.0,13.8,2.808,0.00499,True,New_Zealand_ROW_mens.csv,13.8
1972,1976,0.0,4.0,6.0,1.309,0.19043,False,New_Zealand_ROW_mens.csv,6.0
1976,1984,-1.0,9.0,-11.55,-4.944,0.0,True,New_Zealand_ROW_mens.csv,11.55
1984,1988,3.0,3.0,14.29,7.638,0.0,True,New_Zealand_ROW_mens.csv,14.29
1988,1992,-3.0,0.0,-6.0,-2.739,0.00617,True,New_Zealand_ROW_mens.csv,6.0
1992,1996,0.0,0.0,0.0,0.0,1.0,False,New_Zealand_ROW_mens.csv,0.0
1996,2000,1.0,0.0,1.25,1.155,0.24821,False,New_Zealand_ROW_mens.csv,1.25
2004,2008,3.0,0.0,6.6,2.739,0.00617,True,New_Zealand_ROW_mens.csv,6.6
2008,2012,5.0,1.0,14.17,5.113,0.0,True,New_Zealand_ROW_mens.csv,14.17
2012,2016,-1.0,0.0,-2.75,-0.508,0.61145,False,New_Zealand_ROW_mens.csv,2.75
2016,2020,3.0,6.0,17.68,4.278,2e-05,True,New_Zealand_ROW_mens.csv,17.68
2020,2024,-2.0,2.0,0.9,0.265,0.79108,False,New_Zealand_ROW_mens.csv,0.9
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Japan_BMX_womens.csv,0.0
1952,1956,0.0,0.0,0.0,0.0,1.0,False,Pakistan_WLF_mens.csv,0.0
1972,1976,0.0,0.0,0.0,0.0,1.0,False,Pakistan_WLF_mens.csv,0.0
1984,1988,0.0,0.0,0.0,0.0,1.0,False,Hong_Kong_ARC_mens.csv,0.0
1972,1976,0.0,0.0,0.0,0.0,1.0,False,New_Zealand_CSL_mens.csv,0.0
1976,1980,0.0,0.0,0.0,0.0,1.0,False,New_Zealand_CSL_mens.csv,0.0
1980,1984,2.0,3.0,10.5,8.083,0.0,True,New_Zealand_CSL_mens.csv,10.5
1984,1988,0.0,0.0,0.0,0.0,1.0,False,New_Zealand_CSL_mens.csv,0.0
1988,1992,-4.0,0.0,-8.0,0.0,1.0,False,New_Zealand_CSL_mens.csv,8.0
2004,2008,-1.0,0.0,-1.5,-1.414,0.1573,False,New_Zealand_CSL_mens.csv,1.5
2008,2012,0.0,0.0,0.0,0.0,1.0,False,New_Zealand_CSL_mens.csv,0.0
2012,2016,0.0,0.0,0.0,0.0,1.0,False,New_Zealand_CSL_mens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Dominican_Republic_TTE_womens.csv,0.0
1984,1988,-1.0,2.0,2.0,1.414,0.1573,False,China_DIV_mens.csv,2.0
1988,1992,0.0,1.0,2.0,1.414,0.1573,False,China_DIV_mens.csv,2.0
1992,1996,0.0,2.0,2.67,2.449,0.01431,True,China_DIV_mens.csv,2.67
