Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Gevorg Aleksanyan,M,Armenia,ARM,2004,Athina,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,False
Ruben Aleksanyan,M,Armenia,ARM,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,No medal,Weightlifting,WLF,False
Hovhannes Barseghyan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,False
Sergo Chakhoyan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,Weightlifting,WLF,False
Ashot Danielyan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,No medal,Weightlifting,WLF,True
Ashot Danielyan,M,Armenia,ARM,2000,Sydney,Weightlifting,Weightlifting Men's Super-Heavyweight,No medal,Weightlifting,WLF,True
Ashot Danielyan,M,Armenia,ARM,2004,Athina,Weightlifting,Weightlifting Men's Super-Heavyweight,No medal,Weightlifting,WLF,True
Eduard Darbinyan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,False
Gevorg Davtyan,M,Armenia,ARM,2008,Beijing,Weightlifting,Weightlifting Men's Middleweight,Bronze,Weightlifting,WLF,False
Edgar Gevorgyan,M,Armenia,ARM,2008,Beijing,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,Weightlifting,WLF,False
Armen Ghazaryan,M,Armenia,ARM,2004,Athina,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,False
Aghvan Grigoryan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Heavyweight I,No medal,Weightlifting,WLF,False
Aleksandr Karapetyan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal,Weightlifting,WLF,False
Andranik Karapetyan,M,Armenia,ARM,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,True
Ara Khachatryan,M,Armenia,ARM,2008,Beijing,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,True
Ara Khachatryan,M,Armenia,ARM,2012,London,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,Weightlifting,WLF,True
Gagik Khachatryan,M,Armenia,ARM,2000,Sydney,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,Weightlifting,WLF,False
Khachatur Kyapanaktsyan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,False
Simon Martirosyan,M,Armenia,ARM,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,Silver,Weightlifting,WLF,True
Tigran Martirosyan,M,Armenia,ARM,2008,Beijing,Weightlifting,Weightlifting Men's Lightweight,Bronze,Weightlifting,WLF,True
Tigran Martirosyan,M,Armenia,ARM,2004,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,Weightlifting,WLF,True
Tigran Martirosyan,M,Armenia,ARM,2008,Beijing,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,Weightlifting,WLF,True
Arsen Melikyan,M,Armenia,ARM,2000,Sydney,Weightlifting,Weightlifting Men's Middleweight,Bronze,Weightlifting,WLF,False
Israel Militosyan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,False
Gor Minasyan,M,Armenia,ARM,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver,Weightlifting,WLF,False
Arakel Mirzoyan,M,Armenia,ARM,2012,London,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,True
Arakel Mirzoyan,M,Armenia,ARM,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,Weightlifting,WLF,True
Rudik Petrosyan,M,Armenia,ARM,2000,Sydney,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,False
Ara Vardanyan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Heavyweight II,No medal,Weightlifting,WLF,False
Norayr Vardanyan,M,Armenia,ARM,2012,London,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal,Weightlifting,WLF,False
Hayk Yeghiazaryan,M,Armenia,ARM,1996,Atlanta,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,False
Simon Martirosyan,M,Armenia,ARM,2020,Tokyo,Weightlifting,Men's 109kg,Silver,Men's,WLF,True
Garik Karapetyan,M,Armenia,ARM,2024,Paris,Weightlifting,Men's 102kg,No medal,Men's,WLF,False
Andranik Karapetyan,M,Armenia,ARM,2024,Paris,Weightlifting,Men's 89kg,No medal,Men's,WLF,True
Varazdat Lalayan,M,Armenia,ARM,2024,Paris,Weightlifting,Men's +102kg,Silver,Men's,WLF,False
