Athlete,Country,Event,First event,Gender
Anita Soppi,CMR,JUD,True,F
Emelia Chatfield,HAI,ATH,True,F
Paula Barcelo,ESP,SAL,False,F
Nora Brugman,ESP,SAL,True,F
Tamara Echegoyen,ESP,SAL,False,F
Pilar Lamadrid,ESP,SAL,True,F
Ana Moncada,ESP,SAL,True,F
Tara Pacheco,ESP,SAL,False,F
Gisela Pulido,ESP,SAL,True,F
Matt Macdonald,NZL,ROW,False,M
Ollie Maclean,NZL,ROW,True,M
Philli Wilson,NZL,ROW,True,M
Robbie Manson,NZL,ROW,True,M
Thomas Mackintosh,NZL,ROW,False,M
Daniel Williamson,NZL,ROW,False,M
Jordan Parry,NZL,ROW,False,M
Tom Murray,NZL,ROW,False,M
Logan Ullrich,NZL,ROW,True,M
Kanami Tanno,JPN,BMX,True,F
Sae Hatakeyama,JPN,BMX,False,F
Finn Butcher,NZL,CSL,True,M
Finn Butcher,NZL,CSL,True,M
Georgios Bouglas,GRE,CRD,True,M
Zongyuan Wang,CHN,DIV,False,M
Zongyuan Wang,CHN,DIV,False,M
Siyi Xie,CHN,DIV,False,M
Daoyi Long,CHN,DIV,True,M
Hao Yang,CHN,DIV,True,M
Hao Yang,CHN,DIV,True,M
Junjie Lian,CHN,DIV,True,M
Yuan Cao,CHN,DIV,False,M
Alonso Correa,PER,SRF,True,M
Lucca Mesinas,PER,SRF,False,M
Atthaya Thitikul,THA,GLF,True,F
Patty Tavatanakit,THA,GLF,False,F
Zahria Allers-liburd,SKN,ATH,True,F
Shanieka Ricketts,JAM,ATH,False,F
Janeek Brown,JAM,ATH,True,F
Lloydricia Cameron,JAM,ATH,False,F
Rushell Clayton,JAM,ATH,True,F
Shashalee Forbes,JAM,ATH,False,F
Shashalee Forbes,JAM,ATH,False,F
Shericka Jackson,JAM,ATH,False,F
Shericka Jackson,JAM,ATH,False,F
McPHERSON Ann,JAM,ATH,False,F
McPHERSON Ann,JAM,ATH,False,F
Kemba Nelson,JAM,ATH,True,F
Ann Williams,JAM,ATH,False,F
Ann Williams,JAM,ATH,False,F
Kimberly Williams,JAM,ATH,False,F
Danielle Williams,JAM,ATH,True,F
Ashley Williams,JAM,ATH,True,F
Ashley Williams,JAM,ATH,True,F
Danniel Thomas-dodd,JAM,ATH,False,F
Shiann Salmon,JAM,ATH,True,F
Shiann Salmon,JAM,ATH,True,F
Janieve Russell,JAM,ATH,False,F
Chanice Porter,JAM,ATH,False,F
Shelly-ann Fraser-pryce,JAM,ATH,False,F
Junelle Bromfield,JAM,ATH,False,F
Junelle Bromfield,JAM,ATH,False,F
Junelle Bromfield,JAM,ATH,False,F
Tia Clayton,JAM,ATH,True,F
Tia Clayton,JAM,ATH,True,F
Lamara Distin,JAM,ATH,True,F
Natoya Goule-toppin,JAM,ATH,True,F
Samantha Hall,JAM,ATH,True,F
Andrenette Knight,JAM,ATH,True,F
Andrenette Knight,JAM,ATH,True,F
Ackera Nugent,JAM,ATH,True,F
Nickisha Pryce,JAM,ATH,True,F
Nickisha Pryce,JAM,ATH,True,F
Alana Reid,JAM,ATH,True,F
Ackelia Smith,JAM,ATH,True,F
Ackelia Smith,JAM,ATH,True,F
Adelle Tracey,JAM,ATH,True,F
Adelle Tracey,JAM,ATH,True,F
Niesha Burgher,JAM,ATH,True,F
Lanae-tava Thomas,JAM,ATH,True,F
Charokee Young,JAM,ATH,False,F
Huanhua Liu,CHN,WLF,True,M
Fabin Li,CHN,WLF,False,M
Zhiyong Shi,CHN,WLF,False,M
Tereza Hrochova,CZE,ATH,True,F
Michaela Hruba,CZE,ATH,True,F
Nikoleta Jichova,CZE,ATH,True,F
Gloria Manuel,CZE,ATH,True,F
Karolina Manasova,CZE,ATH,True,F
Eliska Martinkova,CZE,ATH,True,F
Eliska Martinkova,CZE,ATH,True,F
Nikola Ogrodnikova,CZE,ATH,True,F
Tereza Petrzilkova,CZE,ATH,True,F
Kristiina Sasinek,CZE,ATH,True,F
Petra Sicakova,CZE,ATH,True,F
Moira Stewartova,CZE,ATH,True,F
Amalie Svabikova,CZE,ATH,True,F
Lada Vondrova,CZE,ATH,True,F
Alondra Ortiz,CRC,SWM,True,F
Evangelia Malkogeorgou,GRE,SWA,True,F
Evangelia Platanioti,GRE,SWA,False,F
Camila Osorio,COL,TEN,False,F
Catalina Gnoriega,USA,ARC,True,F
Catalina Gnoriega,USA,ARC,True,F
Casey Kaufhold,USA,ARC,False,F
Casey Kaufhold,USA,ARC,False,F
Casey Kaufhold,USA,ARC,False,F
Jennifer Mucino,USA,ARC,True,F
Jennifer Mucino,USA,ARC,True,F
Manoel Messias,BRA,TRI,False,M
Miguel Hidalgo,BRA,TRI,True,M
Ambre Ballenghien,BEL,HOC,True,F
Camille Belis,BEL,HOC,True,F
Vanessa Blockmans,BEL,HOC,True,F
Helene Brasseur,BEL,HOC,True,F
Lucie Breyne,BEL,HOC,True,F
Alix Gerniers,BEL,HOC,False,F
Lien Hillewaert,BEL,HOC,True,F
Delphine-daphne Marien,BEL,HOC,True,F
Barbara Nelen,BEL,HOC,False,F
Elodie Picard,BEL,HOC,True,F
Emma Puvrez,BEL,HOC,True,F
Justine Rasir,BEL,HOC,True,F
Abigail Raye,BEL,HOC,True,F
Michelle Struijk,BEL,HOC,True,F
Emily White,BEL,HOC,True,F
Charlotte Englebert,BEL,HOC,True,F
Stephanie Vanden,BEL,HOC,True,F
Judith Vandermeiren,BEL,HOC,False,F
Aisling D'hooghe,BEL,HOC,False,F
Charles Paquet,CAN,TRI,True,M
Tyler Mislawchuk,CAN,TRI,False,M
Shoi Matsuda,JPN,CTR,True,M
Shunsuke Imamura,JPN,CTR,True,M
Shunsuke Imamura,JPN,CTR,True,M
Shunsuke Imamura,JPN,CTR,True,M
Kaiya Ota,JPN,CTR,True,M
Kaiya Ota,JPN,CTR,True,M
Kaiya Ota,JPN,CTR,True,M
Shinji Nakano,JPN,CTR,True,M
Shinji Nakano,JPN,CTR,True,M
Shinji Nakano,JPN,CTR,True,M
Shinji Nakano,JPN,CTR,True,M
Yuta Obara,JPN,CTR,True,M
Yuta Obara,JPN,CTR,True,M
Yuta Obara,JPN,CTR,True,M
Eiya Hashimoto,JPN,CTR,False,M
Eiya Hashimoto,JPN,CTR,False,M
Kazushige Kuboki,JPN,CTR,False,M
Kazushige Kuboki,JPN,CTR,False,M
Kazushige Kuboki,JPN,CTR,False,M
Yoshitaku Nagasako,JPN,CTR,False,M
Zheng Yan,CHN,SAL,True,F
Jingyue Chen,CHN,SAL,True,F
Xiaoyu Hu,CHN,SAL,True,F
Mengyuan Shan,CHN,SAL,True,F
Min Gu,CHN,SAL,True,F
Linlin Chen,CHN,SAL,True,F
Yixiao Lv,CHN,SAL,True,F
Ahmed Jaziri,TUN,ATH,True,M
Amin Jhinaoui,TUN,ATH,True,M
