Country Code,Gender,Event,bronze,silver,gold,total athletes
CMR,F,JUD,0,0,0,2
NOR,F,FEN,0,0,0,0
BEL,M,MPN,0,0,0,0
HAI,F,ATH,0,0,0,0
ESP,F,SAL,0,0,0,7
ARU,F,ATH,0,0,0,0
NZL,M,ROW,0,0,6,8
JPN,F,BMX,0,0,0,1
CUB,F,SBL,0,0,0,0
PAK,M,WLF,0,0,0,1
HKG,M,ARC,0,0,0,0
NZL,M,CSL,0,0,0,1
DOM,F,TTE,0,0,0,0
GRE,M,CRD,0,0,0,1
CHN,M,DIV,0,4,4,8
IND,M,CTR,0,0,0,0
FRG,F,SHO,0,0,0,0
PER,M,SRF,0,0,0,2
COL,F,RU7,0,0,0,0
IND,M,ART,0,0,0,0
THA,F,GLF,0,0,0,1
SKN,F,ATH,0,0,0,0
JAM,F,ATH,7,1,7,33
CHN,M,WLF,0,0,4,4
CZE,F,ATH,0,0,0,0
MON,M,CTR,0,0,0,0
MON,M,ART,0,0,0,0
CRC,F,SWM,0,0,0,1
GRE,F,SWA,0,0,0,6
COL,F,TEN,0,0,0,1
USA,F,ARC,0,0,0,4
PHI,M,SAL,0,0,0,0
ALG,M,TKW,0,0,0,0
AUT,M,TTE,0,0,0,0
CYP,F,ARC,0,0,0,0
HKG,F,TTE,0,0,0,0
BRA,M,TRI,0,0,0,1
BEL,F,HOC,0,0,0,0
MYA,F,ARC,0,0,0,0
CYP,M,TEN,0,0,0,0
ITA,F,SBL,0,0,0,15
BAH,M,SAL,0,0,0,0
JPN,M,ART,0,0,0,0
FRA,M,SAL,0,0,0,0
CAN,M,TRI,0,0,0,3
JPN,M,CTR,0,0,0,1
CHN,F,SAL,0,0,1,7
TUN,M,ATH,0,0,0,2
MAS,F,BDM,0,0,0,4
TPE,M,TTE,0,0,0,0
GER,M,SAL,0,0,0,0
GBR,M,RQT,0,0,0,0
CAN,M,SAL,0,0,0,0
CRC,F,DIV,0,0,0,0
AUS,F,FBL,0,0,0,13
NOR,F,GRY,0,0,0,0
VIN,F,ATH,0,0,0,1
NED,F,OWS,0,1,0,1
PNG,M,TKW,0,0,0,0
DEN,M,FBL,0,0,0,0
DEN,F,SAL,0,0,1,5
AFG,F,JUD,0,0,0,0
BAR,F,SWM,0,0,0,1
CZE,F,SHO,0,0,0,4
GER,F,CSL,1,0,1,2
MGL,M,CRD,0,0,0,0
CAY,F,ATH,0,0,0,1
LBA,M,ARC,0,0,0,0
POL,F,EVE,0,0,0,4
KOR,F,SWM,0,0,0,0
MKD,F,JUD,0,0,0,1
AZE,M,CRD,0,0,0,1
EGY,M,ATH,0,0,0,3
GER,F,TEN,0,0,0,0
GBR,M,RUG,0,0,0,0
MYA,M,SWM,0,0,0,0
NOR,M,VBV,0,0,2,2
JPN,F,TTE,0,1,0,1
SAM,M,ARC,0,0,0,0
IRL,F,TEN,0,0,0,0
JPN,M,TTE,0,0,0,0
CAN,F,BK3,0,0,0,0
MHL,F,ATH,0,0,0,0
USA,M,GAR,0,0,0,0
FIN,F,FEN,0,0,0,0
GEO,M,BOX,0,0,0,3
CHA,M,ATH,0,0,0,0
RWA,M,JUD,0,0,0,0
NZL,F,ROW,0,6,0,8
ZIM,F,ARC,0,0,0,0
MON,M,SWM,0,0,0,1
FIN,M,CSL,0,0,0,0
USA,F,CSL,0,0,0,2
GBR,F,GLF,0,0,0,2
GBR,M,JUD,0,0,0,1
AUS,M,GLF,0,0,0,2
MKD,F,CSL,0,0,0,0
IND,M,SWM,0,0,0,1
FIN,M,ROW,0,0,0,0
KOR,F,DIV,0,0,0,0
KOR,M,MPN,0,0,0,0
TAN,M,JUD,0,0,0,0
CHN,F,BKG,0,0,0,0
MEX,M,POL,0,0,0,0
POL,M,CRD,0,0,0,4
FIN,F,GRY,0,0,0,0
FRA,M,ROW,0,0,0,0
COD,M,TTE,0,0,0,0
JPN,M,SWM,0,1,0,19
MAR,M,EJP,0,0,0,7
SWE,M,SAL,0,0,0,0
ARG,M,TEN,0,0,0,0
SLO,F,GRY,0,0,0,1
KOR,F,BDM,2,0,0,7
GHA,M,BOX,1,0,0,3
GAM,M,SWM,0,0,0,1
CHI,F,SKB,0,0,0,1
POL,F,CRD,0,0,0,4
JPN,F,CTR,0,1,0,7
RSA,M,SRF,0,0,0,0
GER,F,ARC,2,0,0,5
